"Year","RateYearMean","InflationMean","UnemploymentMean","CPIYearMean"
1960,3.21583333333333,1.525,5.54166666666667,29.575
1961,1.955,1.125,6.69166666666667,29.8916666666667
1962,2.70833333333333,1.375,5.56666666666667,30.25
1963,3.17833333333333,1.275,5.64166666666667,30.625
1964,3.49666666666667,1.5,5.15833333333333,31.0166666666667
1965,4.0725,1.44166666666667,4.50833333333333,31.5083333333333
1966,5.11083333333333,2.41666666666667,3.79166666666667,32.4583333333333
1967,4.22,3.475,3.84166666666667,33.3583333333333
1968,5.65666666666667,4.63333333333333,3.55833333333333,34.7833333333333
1969,8.20416666666667,5.80833333333333,3.49166666666667,36.6833333333333
1970,7.18083333333333,6.24166666666667,4.98333333333333,38.825
1971,4.66083333333333,4.70833333333333,5.95,40.4916666666667
1972,4.43083333333333,3.06666666666667,5.6,41.8166666666667
1973,8.7275,3.49166666666667,4.85833333333333,44.4
1974,10.5025,8.20833333333333,5.64166666666667,49.3083333333333
1975,5.82416666666667,9.29166666666667,8.475,53.8166666666667
1976,5.045,6.56666666666667,7.7,56.9083333333333
1977,5.5375,6.25833333333333,7.05,60.6083333333333
1978,7.93083333333333,7.3,6.06666666666667,65.2333333333333
1979,11.1941666666667,9.71666666666667,5.85,72.575
1980,13.3558333333333,12.4333333333333,7.175,82.4083333333333
1981,16.3783333333333,10.4833333333333,7.61666666666667,90.925
1982,12.2583333333333,7.475,9.70833333333333,96.5
1983,9.08666666666667,3.93333333333333,9.6,99.6
1984,10.225,4.94166666666667,7.50833333333333,103.883333333333
1985,8.10083333333333,4.375,7.19166666666667,107.566666666667
1986,6.805,4.05833333333333,7,109.608333333333
1987,6.6575,4.125,6.175,113.625
1988,7.56833333333333,4.41666666666667,5.49166666666667,118.258333333333
1989,9.21666666666667,4.51666666666667,5.25833333333333,123.966666666667
1990,8.09916666666667,5.01666666666667,5.61666666666667,130.658333333333
1991,5.6875,4.9,6.85,136.191666666667
1992,3.52166666666667,3.65,7.49166666666667,140.316666666667
1993,3.0225,3.30833333333333,6.90833333333333,144.458333333333
1994,4.20166666666667,2.85,6.1,148.225
1995,5.83666666666667,2.99166666666667,5.59166666666667,152.383333333333
1996,5.29833333333333,2.71666666666667,5.40833333333333,156.85
1997,5.46,2.39166666666667,4.94166666666667,160.516666666667
1998,5.35333333333333,2.275,4.5,163.008333333333
1999,4.97,2.08333333333333,4.21666666666667,166.575
2000,6.23583333333333,2.43333333333333,3.96666666666667,172.2
2001,3.8875,2.65833333333333,4.74166666666667,177.066666666667
2002,1.66666666666667,2.31666666666667,5.78333333333333,179.875
2003,1.1275,1.45,5.99166666666667,183.958333333333
2004,1.34916666666667,1.76666666666667,5.54166666666667,188.883333333333
2005,3.21333333333333,2.16666666666667,5.08333333333333,195.291666666667
2006,4.96416666666667,2.49166666666667,4.60833333333333,201.591666666667
2007,5.01916666666667,2.325,4.61666666666667,207.342416666667
2008,1.9275,2.30833333333333,5.8,215.3025
2009,0.16,1.69166666666667,9.28333333333333,214.537
2010,0.175,0.958333333333333,9.60833333333333,218.0555
2011,0.101666666666667,1.66666666666667,8.93333333333333,224.939166666667
2012,0.14,2.11666666666667,8.075,229.593916666667
2013,0.1075,1.75833333333333,7.36666666666667,232.957083333333
2014,0.0891666666666667,1.75,6.16666666666667,236.736166666667
2015,0.1325,1.825,5.25833333333333,237.017
